"Produktname";"Hersteller";"Produktbeschreibung";"Kaufpreis_in_Euro";"Monatliche_Kosten";"Refinanzierungsmoglichkeit";"Vertrieb";"Zuletzt_aktualisiert";"Interoperabilitat";"SmartphoneTablett_erforderlich";"Stromversorgung";"Mobilitat";"Eigenstaendige_Loesung";"Oberthema";"Pflegeproblem";"Produktkategorie";"PrimeOberthema";"LPD_Schauraum";"id";"Produktform";"Internetzugang_erforderlich";"Vernetzung";"Gutesiegel";"Status"
"Galaxy Watch Ultra";"Samsung";"Die Galaxy Watch Ultra ist eine robuste Smartwatch, die Hitze, Höhen und Wasserdruck standhält. Sie bietet bis zu 100 Stunden Akkulaufzeit im Energiesparmodus und arbeitet mit einem leistungsstarken Prozessor. Mit einem präzisen Gesundheitssensor und KI-gestützten Analysen unterstützt sie Nutzer:innen dabei, Fitnessziele zu erreichen.";"301-500 €";"Nein";"";"Hersteller-Website";"2025-05-27";"";"Ja";"Akku";"Einfach umrüstbar";"Nein";"Stürzen,Sich verlaufen";"Schwindelig, weil zu wenig getrunken,Vergißt (Blutdruck-) Medikamente,Findet nicht zurück nach Hause,Nach Sturz um Hilfe rufen,Vergisst, die Medikamente einzunehmen,Vergisst Termine / neue Informationen";"Trinkerinnerung,Beschäftigungshilfe,Kommunikationsmittel,Ortungssystem,Sturzmelder,Smartwatch";"Stürzen,Sich verlaufen";"";"1153";"Hardware + Software";"Ja";"Bluetooth,WLAN,GSM/LTE";"";"Aktiv"
"Garmin Venu 2 Plus";"Garmin";"Die Garmin Venu 2 Plus bietet in 3 verschiedenen Größen eine Akkulaufzeit von bis zu 9 Tagen. Für die Nutzung der meisten Funktionen ist die Garmin Connect App nötig. Die Uhr bietet verschiedene Sport- und Gesundheitsfunktionen. Bei Stürzen kann ein Notruf abgesetzt werden. ";"101-300 €";"Nein";"";"Webshop";"2025-05-26";"Ant+, Garmin Connect";"Ja";"Akku";"Wearables";"Nein";"Stürzen,Sich verlaufen,Vergesslichkeit";"Findet nicht zurück nach Hause,Nach Sturz um Hilfe rufen,Vergisst, die Medikamente einzunehmen,Vergisst Termine / neue Informationen,Fühlt sich einsam,Mangelnder Antrieb zu trinken";"Ortungssystem,Sturzmelder,Smartwatch";"Stürzen,Sich verlaufen,Vergesslichkeit";"";"1084";"Hardware + Software";"Ja";"Bluetooth,WLAN,GMS/LTE";"";"Aktiv"
"Xiaomi Watch 2";"Xiaomi";"Die Xiaomi Watch 2 bietet präzise Überwachung von Herzfrequenz, Sauerstoffgehalt im Blut und Stress. Verbesserte Sensoren analysieren auch Schlafmuster genauer. In Notfällen verbindet ein dreifacher Tastendruck schnell mit einer Notrufnummer, was Sicherheit und Gesundheit unterstützt.";"101-300 €";"Nein";"";"Hersteller-Website";"2025-05-27";"";"Ja";"Akku";"Wearables";"Nein";"Stürzen,Sich verlaufen,Vergesslichkeit";"Schwindelig, weil zu wenig getrunken,Vergißt (Blutdruck-) Medikamente,Findet nicht zurück nach Hause,Nach Sturz um Hilfe rufen,Vergisst, die Medikamente einzunehmen,Vergisst Termine / neue Informationen,Lebt allein und hat wenig Kontakte";"Trinkerinnerung,Kommunikationsmittel,Ortungssystem,Sturzmelder,Smartwatch";"Stürzen,Sich verlaufen,Vergesslichkeit";"";"1155";"Hardware + Software";"Ja";"Bluetooth,WLAN,GSM/LTE";"";"Aktiv"
"Xiaomi Watch S1";"Xiaomi";"Die Xiaomi Watch S1 bietet präzise Überwachung von Herzfrequenz, Sauerstoffgehalt im Blut und Stress. Verbesserte Sensoren analysieren auch Schlafmuster genauer. In Notfällen verbindet ein dreifacher Tastendruck schnell mit einer Notrufnummer, was Sicherheit und Gesundheit unterstützt.";"101-300 €";"Nein";"";"Hersteller-Website";"2025-05-27";"";"Ja";"Akku";"Wearables";"Nein";"Stürzen,Sich verlaufen,Vergesslichkeit";"Schwindelig, weil zu wenig getrunken,Findet nicht zurück nach Hause,Nach Sturz um Hilfe rufen,Vergisst, die Medikamente einzunehmen,Vergisst Termine / neue Informationen,Lebt allein und hat wenig Kontakte";"Trinkerinnerung,Kommunikationsmittel,Ortungssystem,Sturzmelder,Smartwatch";"Stürzen,Sich verlaufen,Vergesslichkeit";"";"1156";"Hardware + Software";"Ja";"Bluetooth,WLAN,GSM/LTE";"";"Aktiv"
"MEMOplanner Medium";"Abilia AB";"MEMOplanner ist ein digitaler Kalender, der für Pflegebedürftige gedacht ist, die eine erweiterte kognitive Unterstützung in Bezug auf Zeit, Struktur, Planung und grafische Klarheit benötigen. MEMOplanner ist für den Einsatz in Innenräumen, zu Hause, in der Schule oder bei der Arbeit vorgesehen.";"über 500 €";"";"Pflegehilfsmittelkatalog-Nr.:  52.40.05.0004";"Webshop";"2025-05-27";"App MEMOplanner Go";"Nein";"Akku";"Verbaut/Montage erforderlich";"Ja";"Vergesslichkeit,Flüssigkeitsmangel";"Schwindelig, weil zu wenig getrunken,Vergißt (Blutdruck-) Medikamente,Vergisst, die Medikamente einzunehmen,Vergisst Termine / neue Informationen";"Smart Home / Assistenzsystem";"Vergesslichkeit,Flüssigkeitsmangel";"";"1157";"Hardware + Software";"Ja";"WLAN,GSM/LTE";"";"Aktiv"
"MEMOplanner Large";"Abilia AB";"MEMOplanner ist ein digitaler Kalender, der für Pflegebedürftige gedacht ist, die eine erweiterte kognitive Unterstützung in Bezug auf Zeit, Struktur, Planung und grafische Klarheit benötigen. MEMOplanner ist für den Einsatz in Innenräumen, zu Hause, in der Schule oder bei der Arbeit vorgesehen.";"über 500 €";"Nein";"Pflegehilfsmittelkatalog-Nr.:  52.40.05.0010";"Webshop";"2025-05-27";"App MEMOplanner Go";"Nein";"Netzbetrieb";"Verbaut/Montage erforderlich";"Ja";"Vergesslichkeit,Flüssigkeitsmangel";"Schwindelig, weil zu wenig getrunken,Vergißt (Blutdruck-) Medikamente,Vergisst, die Medikamente einzunehmen,Vergisst Termine / neue Informationen";"Smart Home / Assistenzsystem";"Vergesslichkeit,Flüssigkeitsmangel";"";"1158";"Hardware + Software";"Ja";"WLAN";"";"Aktiv"
"MySina ";"T-Care Holding AG";"MySina ein digitales Assistenzsystem für die Pflege. MySina bietet Unterstützung für Pflegepersonal, Pflegebedürftige und Angehörige. Die von den Sensoren erfassten Daten werden an die zentrale Box gesendet und gefiltert. Die relevanten Informationen (Sturz, Notruf, Bett-Exit etc) werden an die MySina-App übermittelt.";"Auf Anfrage";"Optional";"";"Hersteller-Website";"2025-05-27";"";"Ja";"Netzbetrieb";"Verbaut/Montage erforderlich";"Nein";"Stürzen";"Verlässt unbemerkt die Wohnung,Nach Sturz um Hilfe rufen";"Aufstehmelder,Sturzmelder";"Stürzen";"";"1159";"Hardware + Software";"Ja";"WLAN";"";"Aktiv"
"Auxilio";"auxilio - Intelligente Assistenzsysteme Entwicklungs GmbH";"Auxilio ist eine Kombinationslösung bei der verschiedene Sensoren z.B. zur Sturzerkennung, Fernsteuerung für Lichtanlagen und Schalter mit einer zentrale kombiniert werden. Durch ein selbstlernendes System sollen gefährliche Situationen sicher erkannt werden.  ";"Auf Anfrage";"Nein";"";"Webshop";"2025-05-26";"";"Nein";"Netzbetrieb plus Batterie";"Verbaut/Montage erforderlich";"Ja";"Stürzen,Vergesslichkeit";"Nach Sturz um Hilfe rufen,Muss plötzlich und schnell zur Toilette";"Aufstehmelder,Lichtsteuerung,Sturzmelder,Herdüberwachung,Smarter Rauchmelder,Wassersensor";"Stürzen,Vergesslichkeit";"";"1085";"Hardware + Software";"Nein";"WLAN";"";"Aktiv"
"M-Guard Pro";"Panion";"Das M-GUARD PRO Notrufarmband ist speziell für Senioren entwickelt und bietet Sturzerkennung sowie eine integrierte Telefonfunktion. Bei einem Sturz oder durch Drücken des SOS-Knopfes werden bis zu 10 Kontakte nacheinander alarmiert und erhalten den genauen Standort per SMS. Dank integriertem Lautsprecher und Mikrofon kann direkt über das Armband kommuniziert werden. Das Gerät benötigt eine SIM-Karte, die für Anrufe und SMS genutzt wird.";"101-300 €";"Ja";"";"Webshop";"2025-05-27";"";"Nein";"Akku";"Beweglich";"Ja";"Stürzen,Sich verlaufen";"Verlässt unbemerkt die Wohnung,Findet nicht zurück nach Hause,Nach Sturz um Hilfe rufen";"Ortungssystem,Sturzmelder";"Stürzen,Sich verlaufen";"";"1131";"Nur Hardware";"Nein";"GMS/LTE";"";"Aktiv"
"Galaxy Watch7 ";"Samsung";"Die neue Version der Galaxy Watch hilft in Kombination mit dem Smartphone dabei, sich an die verschiedensten Dinge zu erinnern. Die Uhr kann ebenfalls bei Stürzen um HIlfe rufen oder den Herzschlag überwachen. ";"101-300 €";"Nein";"";"Hersteller-Website";"2025-05-27";"";"Ja";"Akku";"Einfach umrüstbar";"Nein";"Stürzen,Sich verlaufen,Vergesslichkeit";"Schwindelig, weil zu wenig getrunken,Fehlende Beschäftigung,Vergißt (Blutdruck-) Medikamente,Nach Sturz um Hilfe rufen,Vergisst, die Medikamente einzunehmen,Vergisst Termine / neue Informationen";"Trinkerinnerung,Kommunikationsmittel,Ortungssystem,Sturzmelder,Smartwatch";"Stürzen,Sich verlaufen,Vergesslichkeit";"";"1154";"Hardware + Software";"Ja";"Bluetooth,WLAN,GSM/LTE";"";"Aktiv"
"enna";"enna systems GmbH";"enna ist ein innovatives Assistenzsystem, das Senior:innen den Zugang zur digitalen Welt erleichtert ,ganz ohne technisches Vorwissen. Herzstück des Systems ist das enna Dock, eine einfache Station, auf die bedruckte Karten gelegt werden, um automatisch Apps wie Videoanrufe, Fotos, Nachrichten oder Musik auf dem verbundenen Tablet zu starten. Die Bedienung erfolgt intuitiv über die Karten, ganz ohne komplizierte Menüs oder Passwörter.  enna fördert soziale Teilhabe, stärkt die Verbindung zu Familie und Freunden und bringt digitale Inhalte in den Alltag.";"101-300 €";"Ja";"";"Hersteller-Website";"2025-05-27";"";"Nein";"Netzbetrieb plus Batterie";"Beweglich";"Ja";"Einsamkeit";"Lebt allein und hat wenig Kontakte";"Kommunikationsmittel";"Einsamkeit";"";"1160";"Hardware + Software";"Ja";"WLAN,GSM/LTE";"";"Aktiv"
"family.cards";"Generation Reach GmbH";"Family.cards ist ein Gerät, das Senioren einen sehr einfachen Zugriff auf digitale Dienste ermöglicht, wie bspw. Videotelefonie oder Filme und Fotos anschauen.  Der Zugriff auf diese Dienste erfolgt über einen handelsüblichen Fernseher, den Sie mit unserem Kartenleser verbinden. Für jeden Dienst gibt es eine Karte, die Sie auf den Kartenleser legen.  Family.cards ist für alle Menschen geeignet, besonders für Menschen mit motorischen oder kognitiven Beeinträchtigungen oder auch Menschen, die kein Smartphone bedienen wollen.";"301-500 €";"Optional";"";"Hersteller-Website";"2025-05-27";"";"Nein";"Netzbetrieb";"Verbaut/Montage erforderlich";"Nein";"Einsamkeit";"Lebt allein und hat wenig Kontakte";"Kommunikationsmittel";"Einsamkeit";"";"1161";"Hardware + Software";"Ja";"WLAN,GSM/LTE";"";"Aktiv"
"lebenswerk.ai";"HealthCare Futurists GmbH";"KI-gestützte professionelle Biographiearbeit, die Wirkung zeigt. Mit Lebenswerk.ai können Sie Ihre Erinnerungen bewahren und teilen - einfach indem Sie Ihre Geschichte erzählen. Beantworten Sie einfach die von uns entwickelten biographischen Fragen in Ihrem eigenen Tempo und Ihrer Sprache. Die KI transkribiert und strukturiert Ihre Erinnerungen in zusammenhängende Kapitel. Erhalten Sie Ihre fertige Autobiographie als eBook, Hörbuch oder gedrucktes Buch.";"Auf Anfrage";"Optional";"";"Hersteller-Website";"2025-06-03";"";"Ja";"";"";"Nein";"Einsamkeit";"Fehlende Beschäftigung";"Beschäftigungshilfe";"Einsamkeit";"";"1166";"Software";"Ja";"WLAN,Ethernet";"";"Aktiv"
" Zuhause Aktiv ";"Spark Ventures IO GmbH";"Active At Home bietet ein innovatives Online-Programm, das speziell für Menschen ab 60 Jahren entwickelt wurde, um Gesundheit, Bewegung und Gemeinschaft bequem von zu Hause aus zu fördern. Durch Live-Kurse und eine umfangreiche Mediathek ermöglicht die Plattform eine flexible und abwechslungsreiche Teilnahme am eigenen Wohlbefinden.";"Auf Anfrage";"Ja";"";"Hersteller-Website";"2025-06-03";"";"Ja";"";"";"Nein";"Einsamkeit";"Fehlende Beschäftigung";"Beschäftigungshilfe";"Einsamkeit";"";"1167";"Software";"Ja";"";"";"Aktiv"
"Veli ";"Veli GmbH";"Mit intelligenter KI-Technologie analysiert Veli den Strom- und Wasser­verbrauch, um Gefahren­situationen wie Stürze oder vergessene Herd­platten zuverlässig zu erkennen. Ist etwas ungewöhnlich, informiert Veli hinterlegte Kontakte – schnell, präzise und diskret.";"Auf Anfrage";"Ja";"";"Hersteller-Website";"2025-06-09";"";"Nein";"Netzbetrieb";"Verbaut/Montage erforderlich";"Nein";"Stürzen,Vergesslichkeit";"Nach Sturz um Hilfe rufen,Vergisst den Herd auszuschalten,Vergisst das Wasser abzudrehen";"Smart Home / Assistenzsystem";"Stürzen,Vergesslichkeit";"";"1168";"Hardware + Software";"Ja";"WLAN";"";"Aktiv"
"Emy";"Fizimed SAS";"Der Emy ist ein CE-zertifiziertes, smartes Medizinprodukt, das speziell für effektives, sicheres und komfortables Beckenbodentraining zuhause entwickelt wurde.";"101-300 €";"Nein";"Pflegehilfsmittelkatalog 15.25.19.2027";"Hersteller-Website";"2025-06-11";"App Emy";"Ja";"Akku";"Beweglich";"Ja";"Stürzen";"Muss plötzlich und schnell zur Toilette";"Inkontinenzhilfe";"Stürzen";"";"1169";"Hardware + Software";"Nein";"Bluetooth";"";"Aktiv"
"MiniFinder Nano GPS Personal Alarm";"MiniFinder Sweden AB";"MiniFinder Nano ist ein leichtes, GPS‑basiertes Notruf‑Armband in Uhrenform – ideal für Senioren, die trotz Mobilitäts‑ oder Gesundheits‑einschränkungen selbstständig bleiben möchten.  MiniFinder Nano fördert Unabhängigkeit im häuslichen Umfeld und unterwegs. Für Angehörige bietet es Sicherheit durch direkte Ortung & Alarme.";"101-300 €";"Ja";"";"Hersteller-Website";"2025-06-11";"MiniFinder Live App";"Ja";"Akku";"Beweglich";"Ja";"Sich verlaufen";"Verlässt unbemerkt die Wohnung,Findet nicht zurück nach Hause,Nach Sturz um Hilfe rufen";"Kommunikationsmittel,Weglaufschutz,Ortungssystem,Sturzmelder";"Sich verlaufen";"";"1170";"Nur Hardware";"Ja";"WLAN,GSM/LTE";"";"Aktiv"
"MiniFinder Watch";"MiniFinder Sweden AB";" MiniFinder Watch kombiniert modernes Design, GPS-Alarm und intelligente Kommunikation für mehr Sicherheit im Alltag. Mit Echtzeitpositionierung, Sturzalarm und einem Notfallknopf kann der Benutzer im Notfall schnell Alarm auslösen. ";"101-300 €";"Ja";"";"Hersteller-Website";"2025-06-11";"MiniFinder Live App";"Ja";"Akku";"Beweglich";"Ja";"Stürzen,Sich verlaufen";"Verlässt unbemerkt die Wohnung,Findet nicht zurück nach Hause,Nach Sturz um Hilfe rufen";"Kommunikationsmittel,Weglaufschutz,Ortungssystem,Sturzmelder";"Stürzen,Sich verlaufen";"";"1171";"Hardware + Software";"Ja";"WLAN,GSM/LTE";"";"Aktiv"
"Day Hub";"Relish";"Day Hub™ ist eine Demenzuhr mit Erinnerungen, die als persönlicher Aufgabenmanager fungiert. Sie hilft Ihnen, Ihren Tagesablauf zu kontrollieren und länger unabhängig zu Hause zu leben. Anpassbare Benachrichtigungen erinnern Sie täglich zu regelmäßigen Zeiten an die Erledigung von Aufgaben und helfen Ihnen so, einen gesunden, erfüllenden Tagesablauf und Lebensstil beizubehalten.";"101-300 €";"Nein";"";"Hersteller-Website";"2025-06-11";"Relish Day Connect";"Nein";"Netzbetrieb plus Batterie";"Beweglich";"Ja";"Vergesslichkeit";"Vergißt (Blutdruck-) Medikamente,Vergisst, die Medikamente einzunehmen,Vergisst Termine / neue Informationen";"Medikamenten-Management,Kalender- und Erinnerungs-App";"Vergesslichkeit";"";"1172";"Hardware + Software";"Nein";"WLAN";"";"Aktiv"
"Perifit";"X6 INNOVATIONS SAS";"Das Biofeedback-Gerät Perifit erfasst mithilfe integrierter Kraftsensoren die Muskelkontraktionen und -entspannungen des Beckenbodens. Die gewonnenen Daten werden in Echtzeit an eine mobile App oder ein kompatibles Endgerät übertragen. Nutzer*innen erhalten so eine unmittelbare Rückmeldung zur Intensität und Dauer der Muskelaktivität. Das System ermöglicht eine gezielte Kontrolle der Muskelanspannung, unterstützt das Training der richtigen Muskelgruppen und dokumentiert den Trainingsfortschritt über einen längeren Zeitraum hinweg.";"101-300 €";"Nein";"Pflegehilfsmittelnummer: 15.25.19.2002";"Hersteller-Website";"2025-07-09";"";"Ja";"Batterien";"Beweglich";"Ja";"Stürzen";"Muss plötzlich und schnell zur Toilette";"Inkontinenzhilfe";"Stürzen";"";"1173";"Hardware + Software";"Ja";"Bluetooth";"";"Aktiv"
" ProCept home System";"INNOCEPT Biobedded Medizintechnik GmbH";"Als Trainingsgerät für die Anwendung Zuhause dient das ProCept home zur Kräftigung der Beckenbodenmuskulatur und zur Steigerung der Willkürmotorik des Beckenbodens. Der Funktionsumfang des Systems beinhaltet sowohl ein Trainingsprogramm als auch ein Entspannungsprogramm. Hochwertige EMG Technik und einfachste Bedienung (über eine Taste) machen das ProCept home zu einem anwenderfreundlichen System.  Patientendaten, EMG-Messwerte und Trainingserfolge lassen sich mit Hilfe eines Datentransferkits über die Infrarotschnittstelle des Gerätes mühelos zum PC übertragen. Die optional erhältliche PC-Auswertungssoftware ProDoc erlaubt das Auslesen von Compliance Daten und Einstellen von Parametern auf dem Computer und erstellt eine elektronische Patientenakte.";"Auf Anfrage";"Nein";"Pflegehilfsmittelnummer: 15.25.19.2015";"Hersteller-Website";"2025-07-09";"PC-Auswertungssoftware ProDoc";"Nein";"Batterien";"Beweglich";"Ja";"Stürzen";"Muss plötzlich und schnell zur Toilette";"Inkontinenzhilfe";"Stürzen";"";"1174";"Nur Hardware";"Nein";"";"";"aktiv"
"Apelvo";"Fysor GmbH";"Apelvo ist ein Beckenboden-Trainingssystem. Dank innovativer Sensortechnologie ist Apelvo eine Neuheit. Steuere Smartphone-Spiele mit der Beckenbodenmuskulatur und erlebe eine neue Art des Beckenbodentrainings.";"101-300 €";"Nein";"";"Hersteller-Website";"2025-07-09";"";"Ja";"Akku";"Beweglich";"Ja";"Stürzen";"Muss plötzlich und schnell zur Toilette";"Inkontinenzhilfe";"Stürzen";"";"1175";"Hardware + Software";"Ja";"Bluetooth";"";"aktiv"
"Pelvintense";"Vitruvo GmbH";"Pelvintense - ist eine spezielle App fur ein gezieltes Beckenboden-Trainingsprogramm, das speziell für Männer von Urologen, Sportmedizinern und Physiotherapeuten entwickelt wurde Profitieren Sie von einem effektiven Trainingsprogramm, das Sie einfach in Ihren Alltag integrieren können.";"Kostenlos";"Ja";"";"App-Stores";"2025-07-09";"";"Ja";"";"Beweglich";"Ja";"Stürzen";"Muss plötzlich und schnell zur Toilette";"Inkontinenzhilfe";"Stürzen";"";"1176";"Nur App";"Ja";"";"";"aktiv"
"ELVIE Beckenbodentrainer mit Biofeedback App";" Witzleben Apotheken OHG";"Der Elvie Beckenbodentrainer ist ein smarter, app-gestützter Trainingshelfer zur Stärkung der Beckenbodenmuskulatur – ideal zur Rückbildung, bei Inkontinenz oder zur Prolaps-Prävention. Durch Echtzeit-Biofeedback und sechs Trainingsmodi ermöglicht er effektives, nur wenige Minuten langes Training mit sichtbarem Fortschritt. Das medizinische Gerät ist komfortabel, wasserdicht und wird von Fachkräften empfohlen.";"101-300 €";"Nein";"";"Hersteller-Website";"2025-07-09";"";"Ja";"Akku";"Beweglich";"Ja";"Stürzen";"Muss plötzlich und schnell zur Toilette";"Inkontinenzhilfe";"Stürzen";"";"1177";"Hardware + Software";"Ja";"Bluetooth";"";"aktiv"
"Bewegungssensor (CR-01)";"TECH Controllers ";"Die Beleuchtung schaltet sich aus, wenn der Bewegungssensor (CR-01) keine Bewegung im Raum feststellt, und schaltet sich ein, wenn die Bewohner den Raum betreten oder sich im Haus bewegen. Mit dem Haus-Lichtsteuerungssystem geht das Licht automatisch aus, wenn keine Bewegung im Raum stattfindet, das Licht „folgt“ den Bewohnern und sorgt für deren Komfort und Sicherheit.";"Auf Anfrage";"Nein";"";"Hersteller-Website";"2025-07-10";"Beleuchtungssteuerung TECHControllers";"Ja";"Netzbetrieb";"Verbaut/Montage erforderlich";"Nein";"Stürzen";"Sieht Hindernisse nicht gut";"Lichtsteuerung";"Stürzen";"";"1178";"Nur Hardware";"Ja";"WLAN,GSM/LTE";"";"aktiv"
"Gira System 3000";"Giersiepen GmbH & Co. KG";"Das Gira System 3000 bietet eine flexible und altersgerechte Lösung zur Lichtsteuerung im Wohnraum. Ob per Schalter, Bewegungsmelder oder App – Nutzer*innen entscheiden selbst, wie sie ihre Beleuchtung steuern möchten. Besonders komfortabel ist die Möglichkeit, Wandbediengeräte individuell anzupassen: Der Tastaufsatz kann jederzeit durch ein anderes Bedienmodul ersetzt werden, z. B. durch ein leicht verständliches Displaygerät mit programmierbaren Einschaltzeiten. Dies ermöglicht eine einfache Bedienung und erhöht die Alltagssicherheit, insbesondere für ältere Menschen. ";"Auf Anfrage";"Nein";"";"Hersteller-Website";"2025-07-10";"Gira eNet SMART HOME App  ";"Ja";"Netzbetrieb";"Verbaut/Montage erforderlich";"Nein";"Stürzen";"Sieht Hindernisse nicht gut";"Lichtsteuerung";"Stürzen";"";"1179";"Nur Hardware";"Ja";"WLAN,GSM/LTE";"";"aktiv"
"LED Multi-Funktions-Sicherheitslampe 43.2034";"TFA Dostmann GmbH & Co. KG";"Im Dunkeln den Flur entlang oder die Treppe runter? Sparen Sie sich das lästige Tasten nach dem Lichtschalter. Mit dieser Sicherheitslampe von TFA haben Sie immer an den richtigen Stellen Licht. Denn das helle 16-LED-Licht schaltet sich über einen Infrarot-Bewegungssensor automatisch ein. Und auch im Falle eines Stromausfalls ist die Multi-Funktionslampe das ideale Hilfsmittel. Bei einer Unterbrechung der Stromversorgung geht das Licht automatisch an.";"1-50 €";"Nein";"";"Webshop";"2025-07-10";"";"Nein";"Netzbetrieb plus Batterie";"Beweglich";"Ja";"Stürzen";"Sieht Hindernisse nicht gut";"Lichtsteuerung";"Stürzen";"";"1180";"Nur Hardware";"Nein";"";"";"aktiv"
"Inventife Raumsensor – WiFi ";"Inventife Engineering GmbH";"Der Inventife Raumsensor ist eine smarte Lösung zur Verbesserung des Wohnkomforts – speziell auch im Alter. Er erkennt nicht nur die Anwesenheit von Personen, sondern erfasst auch deren Position im Raum. Auf diese Weise ermöglicht der Sensor eine bedarfsgerechte Steuerung des Lichts, ganz ohne manuelle Eingriffe.";"Auf Anfrage";"Nein";"";"Hersteller-Website";"2025-07-10";"Inventife Hub";"Nein";"Netzbetrieb";"Verbaut/Montage erforderlich";"Nein";"Stürzen";"Sieht Hindernisse nicht gut";"Lichtsteuerung";"Stürzen";"";"1181";"Nur Hardware";"Ja";"WLAN";"";"aktiv"
"Ulla - Der Trink-Wecker";"";"Ulla erinnert mit Blinken an die nächste Flüssigkeitszufuhr und wird zu Ihrem besten Freund werden. Durch ihr optimales Hydratationsintervall von 48 Minuten wird sich das Trinkverhalten eklatant in eine gute Richtung hin verändern. Denn Wasser und Trinken sind wichtig für die Gesundheit. Ulla ist immer da, aber nicht im Weg!";"1-50 €";"Nein";"";"Webshop";"2025-07-10";"";"Nein";"Batterien";"Beweglich";"Ja";"Stürzen,Flüssigkeitsmangel";"Schwindelig, weil zu wenig getrunken,Mangelnder Antrieb zu trinken";"Trinkerinnerung";"Stürzen,Flüssigkeitsmangel";"";"1182";"Nur Hardware";"Nein";"";"";"aktiv"
"Boost Lite intelligente Wasserflasche";"WaterH";"Die WaterH Boost Lite Smart Trinkflasche ist der ideale Begleiter für alle, die ihre Hydration ernst nehmen. Diese fortschrittliche Wasserflasche ist darauf ausgelegt, Ihre tägliche Wasseraufnahme zu verfolgen und Sie regelmäßig daran zu erinnern, ausreichend zu trinken, um Sie gesund und hydriert zu halten. Mit ihrem intelligenten LED-Touch-Display, der nahtlosen Integration mit beliebten Gesundheits-Apps und hervorragender Isolierung bietet die WaterH Boost ein unvergleichliches Hydrationserlebnis.";"1-50 €";"Nein";"";"Webshop";"2025-07-10";" WaterH-App";"Ja";"Akku";"Beweglich";"Nein";"Stürzen,Flüssigkeitsmangel";"Schwindelig, weil zu wenig getrunken,Mangelnder Antrieb zu trinken";"Trinkerinnerung";"Stürzen,Flüssigkeitsmangel";"";"1183";"Nur Hardware";"Ja";"Bluetooth";"";"aktiv"
"Drink Water - Trink Wecker";"AppRover";"Diese App hilft jeden Tag genug Wasser zu trinken. Berechnen sie wie viel Wasser sie täglich benötigen und setzten sie sich entsprechende Erinnerungen.";"Kostenlos";"Nein";"";"App-Stores";"2025-07-10";"";"Ja";"";"Beweglich";"Ja";"Stürzen,Flüssigkeitsmangel";"Schwindelig, weil zu wenig getrunken,Mangelnder Antrieb zu trinken";"Trinkerinnerung";"Stürzen,Flüssigkeitsmangel";"";"1184";"Nur App";"Ja";"";"";"aktiv"
"Wasser Trinkwecker";"Leap Fitness Group";"Die App „Trinkwecker“ unterstützt ältere Menschen dabei, regelmäßig genügend Flüssigkeit zu sich zu nehmen – ganz ohne komplizierte Bedienung.";"Kostenlos";"Nein";"";"App-Stores";"2025-07-10";"";"Ja";"";"Beweglich";"Ja";"Stürzen,Flüssigkeitsmangel";"Schwindelig, weil zu wenig getrunken,Mangelnder Antrieb zu trinken";"Trinkerinnerung";"Stürzen,Flüssigkeitsmangel";"";"1185";"Nur App";"Ja";"";"";"aktiv"
"Plant Nanny - Water Tracker";"SPARKFUL";"";"Kostenlos";"";"";"App-Stores";"2025-07-10";"";"Ja";"";"Beweglich";"Ja";"Stürzen,Flüssigkeitsmangel";"Schwindelig, weil zu wenig getrunken,Mangelnder Antrieb zu trinken";"Trinkerinnerung";"Stürzen,Flüssigkeitsmangel";"";"1186";"Nur App";"Ja";"";"";"aktiv"
"Funk-Alarmtrittmatte";"Pratoline HomeCare";"Die Pratoline Funk-Alarmtrittmatte (Set mit mobilem Empfänger & Gürtelclip) ist eine zuverlässige Pflegehilfe für die Überwachung von sturzgefährdeten Personen – ideal bei Nachtwandern oder bei Demenz-Patienten. Die Matte wird einfach unter einem Teppich oder einer Fußmatte vor dem Bett oder einer Tür platziert. Beim Betreten sendet sie per Funkalarm ein Signal an den mobilen Empfänger – dadurch werden Pflegekräfte oder Angehörige sofort benachrichtigt.";"101-300 €";"Nein";"";"Hersteller-Website";"2025-07-10";"";"Nein";"Netzbetrieb plus Batterie";"Beweglich";"Ja";"Stürzen,Sich verlaufen";"Verlässt unbemerkt die Wohnung,Findet nicht zurück nach Hause";"Aufstehmelder";"Stürzen,Sich verlaufen";"";"1187";"Nur Hardware";"Nein";"869,23 MHz (sichere Sozialalarm Frequenz)";"";"aktiv"
"Bettkantensensor";"Pratoline HomeCare";"Dieser Bettausstiegsalarm ermöglicht die Überwachung von „Nachtwanderern“ und „Wegläufern"" und ist ebenfalls ein Bettflucht-Warnsystem und Demenz-Weglaufschutz. Der „Bettkantensensor“ wird zwischen Matratze und Spannbetttuch platziert. Wenn die zu pflegende Person das Bett verlassen möchte, wird durch auflegen der Beine der Sensor ausgelöst. Pfleger und/oder Betreuung werden alarmiert.";"101-300 €";"Nein";"";"Hersteller-Website";"2025-07-10";"";"Nein";"Netzbetrieb";"Beweglich";"Nein";"Stürzen,Sich verlaufen";"Verlässt unbemerkt die Wohnung,Findet nicht zurück nach Hause";"Aufstehmelder";"Stürzen,Sich verlaufen";"";"1188";"Nur Hardware";"Nein";"869,23 MHz (sichere Sozialalarm Frequenz)";"";"aktiv"
